system_weight,bias_0,bias_1,bias_2,bias_3,bias_4,target
0.60167366,-0.5774011,0.32989183,0.45596436,0.93131787,-0.46443808,1
0.6015344,1.4520427,-1.640699,0.60960615,1.3388236,-0.8620264,1
0.6019782,0.06054358,1.1715686,1.2095221,-0.29357654,0.58316284,0
0.60093653,2.8437834,-0.9193177,0.5705256,0.4245815,-2.2343135,1
0.60083777,-0.12563609,0.9941389,-0.029856792,0.9189449,-0.42914137,0
0.60164315,-0.1930633,-0.49805135,-1.216781,1.5081129,-0.5500122,0
0.60126865,-2.5474472,0.1609316,0.0036831729,0.15200861,0.40177795,1
0.60121006,0.49451864,1.3929967,0.8304797,-1.3971069,-0.045969874,0
0.60206676,-1.3054501,1.0756612,-1.8031775,0.059458163,-1.3359871,1
0.60217625,-0.20274383,-0.5704391,0.67420506,0.32839832,-0.08156371,0
0.60131353,-0.26158088,1.3338732,-0.27675772,0.14176033,-1.2513101,1
0.60138774,-1.5157332,-0.32520014,-1.119886,-0.5198156,-1.3507684,1
0.6012482,-0.470632,0.052314684,0.014406623,-0.7156133,-1.0855602,1
0.6014909,0.3629189,-0.5016807,0.2052058,1.1391423,-0.18968157,0
0.6007494,0.5862298,0.5999521,0.81966853,0.27346295,-0.043816067,0
0.60129434,0.1492917,0.20887606,-0.24036856,-1.1048443,2.0673335,0
0.6012288,-0.92179734,-0.3258768,0.6975151,-1.3321565,-0.48240942,1
0.6017762,0.64215,0.5388372,0.94672495,2.1377933,0.22953494,1
0.60111743,-0.33713335,0.26888862,-0.42336452,-1.0284914,0.08085071,0
0.60178703,-1.1454636,1.1975487,-0.08179201,0.042196397,0.34178472,1
0.60084754,-0.3386083,-0.76964015,0.45659506,0.3526944,-0.53357136,0
0.601183,-1.0507382,-1.1881833,-0.12728685,-0.23379713,0.14961946,0
0.6021007,-0.027177874,-1.454493,0.725924,0.03308227,1.0992117,0
0.6013974,1.2681911,1.5835695,0.8319555,-1.7333711,0.017306821,1
0.60146236,0.24299058,-2.2985833,-0.4842277,1.292525,1.2765343,0
0.60170513,-0.82975876,1.322423,1.6817622,-1.711813,0.7492333,1
0.6013497,-0.39524734,-0.47374126,0.017084453,1.5810866,2.4437153,1
